	name	rating	address	url
26	南村｜私廚‧小酒棧	4.5	臺北市大安區忠孝東路四段216巷33弄10號	https://ifoodie.tw/restaurant/5867f4b62756dd7579b8f434-%E5%8D%97%E6%9D%91%EF%BD%9C%E7%A7%81%E5%BB%9A%E2%80%A7%E5%B0%8F%E9%85%92%E6%A3%A7
27	Book ing bar	4.7	台北市大安區仁愛路四段345巷15弄10號	https://ifoodie.tw/restaurant/5bab332923679c79775b6751-Book-ing-bar
28	CHENDU 94 心肝寶貝	4.6	台北市萬華區成都路94號	https://ifoodie.tw/restaurant/5d7b151c8c906d410ea08e97-CHENDU-94-%E5%BF%83%E8%82%9D%E5%AF%B6%E8%B2%9D
29	童裏心柑仔店ÖMAR放感情	4.8	臺北市大安區忠孝東路四段223巷20弄3號	https://ifoodie.tw/restaurant/5e8705802261395ba4b0b51c-%E7%AB%A5%E8%A3%8F%E5%BF%83%E6%9F%91%E4%BB%94%E5%BA%97%C3%96MAR%E6%94%BE%E6%84%9F%E6%83%85
30	Ulove羽樂歐陸創意料理	4.7	臺北市松山區南京東路四段162號	https://ifoodie.tw/restaurant/5ae367632756dd3a035aa679-Ulove%E7%BE%BD%E6%A8%82%E6%AD%90%E9%99%B8%E5%89%B5%E6%84%8F%E6%96%99%E7%90%86
31	She_Design tapas soju bar	4.5	臺北市信義區基隆路一段127號	https://ifoodie.tw/restaurant/57d59cf22756dd05d585abd8-She_Design-tapas-soj
32	Joseph Bistro 想想廚房	4.3	臺北市中山區松江路69巷13號	https://ifoodie.tw/restaurant/55a5fbe6c03a102ec1415c9e-Joseph-Bistro-%E6%83%B3%E6%83%B3%E5%BB%9A%E6%88%BF
33	大亨餐酒館 Rich Restaurant	4.7	臺北市中山區天津街63號1樓	https://ifoodie.tw/restaurant/5f6d90fa2261393eb5508871-%E5%A4%A7%E4%BA%A8%E9%A4%90%E9%85%92%E9%A4%A8-Rich-Restauran
34	福旺珈琲餐館 Food-Wong Cafe'	4.6	臺北市信義區忠孝東路五段524巷一弄7號	https://ifoodie.tw/restaurant/5d8a26612756dd52a98c48b8-%E7%A6%8F%E6%97%BA%E7%8F%88%E7%90%B2%E9%A4%90%E9%A4%A8-Food-Wong-Caf
35	BarTwo Taipei 吧吐	4.8	臺北市中山區新生北路二段68巷11號	https://ifoodie.tw/restaurant/5f982d0e2756dd19316438e0-BarTwo-Taipei-%E5%90%A7%E5%90%90
36	木衛二 醫務所	4.2	臺北市大安區光復南路280巷46號1樓	https://ifoodie.tw/restaurant/5f52fdde2756dd18d60489f6-%E6%9C%A8%E8%A1%9B%E4%BA%8C-%E9%86%AB%E5%8B%99%E6%89%80
37	Thaï.J ATT	4.2	臺北市信義區松壽路12號10樓	https://ifoodie.tw/restaurant/5a47a44923679c1fb30f44a1-Tha%C3%AF.J-ATT
38	時光小酒館 Bistro	4.9	臺北市中山區八德路二段289號	https://ifoodie.tw/restaurant/5f3006832756dd48e1dd680a-%E6%99%82%E5%85%89%E5%B0%8F%E9%85%92%E9%A4%A8-Bistro
39	Clear-Cut Bar	5.0	臺北市信義區嘉興街12號	https://ifoodie.tw/restaurant/5efea5372261397a935c81c4-Clear-Cut-Bar
40	Open開房間桌遊餐酒館	4.8	臺北市大安區辛亥路二段145號一樓	https://ifoodie.tw/restaurant/5f3f459002935e4d2651cc85-Open%E9%96%8B%E6%88%BF%E9%96%93%E6%A1%8C%E9%81%8A%E9%A4%90%E9%85%92%E9%A4%A8
41	燒桶子韓風立燒	4.3	臺北市大安區延吉街99號	https://ifoodie.tw/restaurant/559d48c7c03a103ee86c5d17-%E7%87%92%E6%A1%B6%E5%AD%90%E9%9F%93%E9%A2%A8%E7%AB%8B%E7%87%92
42	光一肆號	4.2	臺北市大安區新生南路三段76巷2號	https://ifoodie.tw/restaurant/5ad3752222613912b901ea63-%E5%85%89%E4%B8%80%E8%82%86%E8%99%9F
43	HOLOLAND Shisha Lounge	4.7	臺北市大安區忠孝東路四段181巷35弄8號	https://ifoodie.tw/restaurant/5f882dc7d6895d5b7ed2550a-HOLOLAND-Shisha-Loun
44	心潮飯店 Sinchao Rice Shoppe	4.1	臺北市信義區忠孝東路五段68號2樓	https://ifoodie.tw/restaurant/5e3d729e2756dd6fdd794ecc-%E5%BF%83%E6%BD%AE%E9%A3%AF%E5%BA%97-Sinchao-Rice-Sh
45	TEXAS ROADHOUSE 德州鮮切牛排	3.8	臺北市信義區松高路16號3樓	https://ifoodie.tw/restaurant/559d6b5ec03a103ee86c7403-TEXAS-ROADHOUSE-%E5%BE%B7%E5%B7%9E%E9%AE%AE%E5%88%87
46	Night Eleven	4.8	臺北市信義區吳興街284巷8號之3號	https://ifoodie.tw/restaurant/5d68fc41d6895d659882cf3d-Night-Eleven
47	獅旨 日式餐酒 Lionz dining sake bar	4.8	臺北市大安區大安路一段51巷45號	https://ifoodie.tw/restaurant/5f4faa962756dd2485e73472-%E7%8D%85%E6%97%A8-%E6%97%A5%E5%BC%8F%E9%A4%90%E9%85%92-Lionz-dining
48	台北酒驛 Turnout Taipei	4.7	臺北市松山區南京東路五段83號	https://ifoodie.tw/restaurant/5d480eee8c906d6504d79ebe-%E5%8F%B0%E5%8C%97%E9%85%92%E9%A9%9B-Turnout-Taipei
49	Time's Eat	4.3	臺北市士林區中正路223巷11號	https://ifoodie.tw/restaurant/55e498ba2756dd5141aeeaf9-Time's-Eat
50	ULV Restaurant and Bar	4.5	臺北市大安區敦化南路一段160巷18號一樓	https://ifoodie.tw/restaurant/5cca9f7b2261396fc7ac624c-ULV-Restaurant-and-B
51	Maison家 Chinese fusion	4.6	臺北市大安區光復南路290巷41號	https://ifoodie.tw/restaurant/5b200be12756dd3ae46a63af-Maison%E5%AE%B6-Chinese-fusi
52	交易室 TRADERS' SOCIETY	4.5	臺北市松山區市民大道四段15號1樓	https://ifoodie.tw/restaurant/5f7b2c022756dd2e8ab5aed3-%E4%BA%A4%E6%98%93%E5%AE%A4-TRADERS'-SOCIETY
53	GiliGili KOREA Bbq&rice韓國釜山餐酒館	4.2	臺北市中山區天津街16號	https://ifoodie.tw/restaurant/586be9d32756dd757bb8f8e3-GiliGili-KOREA-Bbq%26r
54	Cantine Marais 瑪黑餐酒	4.7	臺北市松山區八德路三段8巷36號1F	https://ifoodie.tw/restaurant/5f7da2a502935e4c18075d23-Cantine-Marais-%E7%91%AA%E9%BB%91%E9%A4%90%E9%85%92
55	拉圖爾酒廠餐廳La Tour Bistronomy	4.5	臺北市中正區延平南路84巷8號	https://ifoodie.tw/restaurant/5e2314802756dd6166092134-%E6%8B%89%E5%9C%96%E7%88%BE%E9%85%92%E5%BB%A0%E9%A4%90%E5%BB%B3La-Tour-Bistr
56	英雄塚	4.8	臺北市信義區松隆路9巷32號	https://ifoodie.tw/restaurant/5d244e5e2261393c4e34a9c1-%E8%8B%B1%E9%9B%84%E5%A1%9A
57	Bar Weekend	4.8	臺北市大安區信義路三段147巷18號	https://ifoodie.tw/restaurant/5e7f304ed6895d46c24c44f6-Bar-Weekend
58	DOMANI	4.4	臺北市大安區建國南路一段65巷7號	https://ifoodie.tw/restaurant/58e490a4f524681f90fb03c0-DOMANI
59	Aloft  雅樂軒酒店  WXYZ Bar	4.3	臺北市中山區雙城街1號	https://ifoodie.tw/restaurant/5730d1962756dd72d0f6837a-Aloft-%E9%9B%85%E6%A8%82%E8%BB%92%E9%85%92%E5%BA%97-WXYZ-Bar
60	Bar Mood Taipei 吧沐	4.5	臺北市大安區敦化南路一段160巷53號	https://ifoodie.tw/restaurant/5ecfc9342756dd07a27ff04a-Bar-Mood-Taipei-%E5%90%A7%E6%B2%90
61	JAPOLI義大利餐酒館	4.6	臺北市大安區忠孝東路四段49巷2號B1	https://ifoodie.tw/restaurant/5633b2ad2756dd46cfcfdc6c-JAPOLI%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%A4%90%E9%85%92%E9%A4%A8
62	花酒藏	4.5	臺北市大安區安和路一段33號	https://ifoodie.tw/restaurant/559de16fc03a103ee86cb9ae-%E8%8A%B1%E9%85%92%E8%97%8F
